Netflix,Mindhunter,2017,8.6
Netflix,Parks and Recreation,2009,8.6
Netflix,Dexter,2006,8.6
Netflix,Marvel's Daredevil,2015,8.6
Netflix,Shameless,2011,8.6
Netflix,Mad Men,2007,8.6
Netflix,Star Trek: The Next Generation,1987,8.6
Netflix,Making a Murderer,2015,8.6
Netflix,Anne with an E,2017,8.6
Netflix,Pose,2018,8.6
Netflix,Chef's Table,2015,8.6
Netflix,Hilda,2018,8.6
Netflix,Ezel,2009,8.6
Netflix,North & South,2004,8.6
Netflix,Code Geass: Lelouch of the Rebellion,2006,8.6
Netflix,Fullmetal Alchemist,2003,8.6
Netflix,Your Lie in April,2014,8.6
Netflix,Wentworth,2013,8.6
Netflix,Merlí,2015,8.6
Netflix,Rake,2010,8.6
Netflix,Formula 1: Drive to Survive,2019,8.6
Netflix,The Great British Bake Off,2010,8.6
Netflix,Oliver Stone's Untold History of the United States,2012,8.6
Netflix,The Rise of Phoenixes,2018,8.6
Netflix,Stranger,2017,8.6
Netflix,Daniel Sloss: Live Shows,2018,8.6
Netflix,The Repair Shop,2017,8.6
Netflix,La Niña,2016,8.6
Netflix,Incomplete Life,2014,8.6
Netflix,Fake or Fortune?,2011,8.6
Netflix,Ice Road Rescue,2015,8.6
Netflix,Age of Rebellion,2018,8.6
Hulu,Sons of Anarchy,2008,8.6
Hulu,Archer,2009,8.6
Hulu,Justified,2010,8.6
Hulu,The X-Files,1993,8.6
Hulu,Adventure Time,2010,8.6
Hulu,Atlanta,2016,8.6
Hulu,Naruto Shippūden,2007,8.6
Hulu,Line of Duty,2012,8.6
Hulu,Peep show,2003,8.6
Hulu,Battlestar Galactica,2004,8.6
Hulu,Spaced,1999,8.6
Hulu,The Bridge,2011,8.6
Hulu,RuPaul's Drag Race All Stars,2012,8.6
Hulu,The Eric Andre Show,2012,8.6
Hulu,The Three Stooges,1934,8.6
Hulu,The Incredible Dr. Pol,2011,8.6
Hulu,Clannad After Story,2009,8.6
Hulu,Worth It,2016,8.6
Hulu,Jeopardy! The Greatest of All Time,2020,8.6
Hulu,Snake City,2014,8.6
Hulu,Part of Me,2014,8.6
Hulu,Los Cowboys,2015,8.6
PrimeVideo,Deadwood,2004,8.6
PrimeVideo,The Newsroom,2012,8.6
PrimeVideo,Father Ted,1995,8.6
PrimeVideo,The Family Man,2019,8.6
PrimeVideo,Endeavour,2012,8.6
PrimeVideo,Detectorists,2014,8.6
PrimeVideo,Romanzo Criminale,2008,8.6
PrimeVideo,Mister Rogers' Neighborhood,1968,8.6
PrimeVideo,The Men Who Built America,2012,8.6
PrimeVideo,All or Nothing,2016,8.6
PrimeVideo,Macross,1982,8.6
PrimeVideo,The National Parks: America's Best Idea,2009,8.6
PrimeVideo,Globe Trekker,2005,8.6
PrimeVideo,How We Got to Now,2014,8.6
PrimeVideo,Boundless,2013,8.6
PrimeVideo,Lucky Dog,2013,8.6
